fixture_id,competition,strata,mechanism_key,k_calls,n_present,presence_stable,status_agree,strength_agree,confidence_agree,support_ids_agree,counter_ids_agree,unknown_agree,conflicted_agree,limitations_agree,counter_search_agree,worst_severity,statuses,confidences
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:BOX_PRESSURE_MATCHUP,3,3,True,True,True,True,True,True,True,True,False,True,0,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:CONTACT_MATCHUP,3,3,True,True,True,True,False,True,True,True,True,True,0,NEUTRAL|NEUTRAL|NEUTRAL,MEDIUM|MEDIUM|MEDIUM
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:CORNER_MECHANISM_MATCHUP,3,3,True,True,True,True,False,False,True,True,False,True,0,A_ADVANTAGE|A_ADVANTAGE|A_ADVANTAGE,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:SECOND_HALF_PRESSURE_SHIFT,3,2,False,True,True,True,True,True,True,True,True,True,0,UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:SHOT_CREATION_MATCHUP,3,3,True,True,True,True,False,True,True,True,True,True,0,A_ADVANTAGE|A_ADVANTAGE|A_ADVANTAGE,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,matchup_states:WIDE_PRESSURE_MATCHUP,3,3,True,False,False,True,False,False,True,True,False,True,1,NEUTRAL|NEUTRAL|A_ADVANTAGE,MEDIUM_HIGH|MEDIUM_HIGH|MEDIUM_HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:BOOKING_CONVERSION,3,3,True,True,True,False,True,True,True,True,True,True,1,MEDIUM|MEDIUM|MEDIUM,HIGH|MEDIUM_HIGH|HIGH
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:BOX_PRESSURE,3,3,True,True,True,True,True,True,True,True,False,True,0,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:BOX_PROTECTION,3,3,True,True,True,True,True,True,True,True,False,True,0,UNKNOWN|UNKNOWN|UNKNOWN,UNKNOWN|UNKNOWN|UNKNOWN
mt_012249215,champ,BEHAVIOR_HEAVY|FORMATION_HEAVY|HIGH_SHRINKAGE|POTENTIALLY_CONFLICTED|STRONG_EVIDENCE|TACTICAL_CLUSTER_DIVERSE|WEAK_EVIDENCE,team_a_states:CLEARANCE_DEPENDENCE,3,3,True,True,True,True,True,True,True,True,True,True,0,MEDIUM|MEDIUM|MEDIUM,HIGH|HIGH|HIGH
